Abundance,Reference,Sampling_effort,species,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
1,Cameron et al. 2011,90,Bombus impatiens,93,139,31,10513,305,-135,440,202,-48,225,-48,636,102,10,58,285,43,256,43
0,Cameron et al. 2011,90,Bombus bifarius,199,125,38,6837,356,33,323,237,122,283,106,858,115,44,32,281,165,187,168
0,Cameron et al. 2011,90,Bombus impatiens,199,125,38,6837,356,33,323,237,122,283,106,858,115,44,32,281,165,187,168
0,Cameron et al. 2011,90,Bombus bifarius,160,129,34,8545,342,-31,373,206,46,266,46,892,141,31,40,331,115,240,115
0,Cameron et al. 2011,90,Bombus impatiens,160,129,34,8545,342,-31,373,206,46,266,46,892,141,31,40,331,115,240,115
0,Cameron et al. 2011,90,Bombus bifarius,104,126,29,10609,314,-114,428,214,-39,237,-39,736,106,14,53,294,54,281,54
7,Cameron et al. 2011,90,Bombus impatiens,104,126,29,10609,314,-114,428,214,-39,237,-39,736,106,14,53,294,54,281,54
0,Cameron et al. 2011,90,Bombus bifarius,121,127,30,9897,323,-91,414,221,-13,244,-13,864,131,20,48,338,73,310,73
0,Cameron et al. 2011,90,Bombus impatiens,121,127,30,9897,323,-91,414,221,-13,244,-13,864,131,20,48,338,73,310,73
0,Cameron et al. 2011,90,Bombus bifarius,125,124,30,9829,323,-84,407,224,-9,247,-9,925,138,25,45,347,85,323,85
2,Cameron et al. 2011,90,Bombus impatiens,125,124,30,9829,323,-84,407,224,-9,247,-9,925,138,25,45,347,85,323,85
0,Cameron et al. 2011,90,Bombus bifarius,88,119,27,10862,296,-132,428,201,-61,221,-61,767,112,18,52,306,64,296,64
35,Cameron et al. 2011,90,Bombus impatiens,88,119,27,10862,296,-132,428,201,-61,221,-61,767,112,18,52,306,64,296,64
0,Cameron et al. 2011,90,Bombus bifarius,126,119,30,9630,320,-76,396,224,-3,246,-3,966,144,29,44,363,94,342,94
1,Cameron et al. 2011,90,Bombus impatiens,126,119,30,9630,320,-76,396,224,-3,246,-3,966,144,29,44,363,94,342,94
0,Cameron et al. 2011,90,Bombus bifarius,208,88,34,6031,326,68,258,277,167,280,125,1201,180,59,30,413,207,357,260
0,Cameron et al. 2011,90,Bombus impatiens,208,88,34,6031,326,68,258,277,167,280,125,1201,180,59,30,413,207,357,260
0,Cameron et al. 2011,90,Bombus bifarius,187,132,41,6608,340,25,315,225,148,268,98,1291,142,82,16,368,287,305,328
12,Cameron et al. 2011,90,Bombus impatiens,187,132,41,6608,340,25,315,225,148,268,98,1291,142,82,16,368,287,305,328
0,Cameron et al. 2011,90,Bombus bifarius,143,129,34,8418,325,-48,373,189,30,248,30,1159,140,54,25,369,195,293,195
4,Cameron et al. 2011,90,Bombus impatiens,143,129,34,8418,325,-48,373,189,30,248,30,1159,140,54,25,369,195,293,195
0,Cameron et al. 2011,90,Bombus bifarius,67,120,26,11583,285,-171,456,208,-92,208,-92,746,110,18,51,316,63,316,63
1,Cameron et al. 2011,90,Bombus impatiens,67,120,26,11583,285,-171,456,208,-92,208,-92,746,110,18,51,316,63,316,63
0,Cameron et al. 2011,90,Bombus bifarius,177,131,39,7303,338,5,333,78,230,267,78,1376,147,80,16,386,275,295,386
5,Cameron et al. 2011,90,Bombus impatiens,177,131,39,7303,338,5,333,78,230,267,78,1376,147,80,16,386,275,295,386
0,Cameron et al. 2011,90,Bombus bifarius,96,118,28,10576,301,-120,421,204,-50,225,-50,915,113,32,37,326,106,319,106
11,Cameron et al. 2011,90,Bombus impatiens,96,118,28,10576,301,-120,421,204,-50,225,-50,915,113,32,37,326,106,319,106
